Time of publish ID,"Warning, incomplete?",Venue,Name,Bib,Authors,year,NLP,Small Models,Debating,Recycling,Scaling Laws,Human-Model Interaction,Efficient Pretraining Research,Resources,The Science of Deep Learning,Methods,Dataset,Training,Evaluation,Shared-task\effort,Language&Cognition,Open,Meta-science,Enabling Low Budget Research,Efficiency,Paper,Workshop-paper,"Review, Survey and Position",Other,inter\eval,open,Allowing,Efficient Evaluation
,,JML,Bigger is not always better: The importance of human-scale language modeling for psycholinguistics,wilcox2024bigger,"Ethan Gotlieb Wilcox, Michael Hu, Aaron Mueller, Tal Linzen, Alex Warstadt, Leshem Choshen, Chengxu Zhuang, Ryan Cotterell, Adina Williams",2024,1,1,,,,,1,,1,,,1,,1,1,1,1,1,1,1,,,,,,,
,,EMNLP (under review) ,Fuse to Forget: Bias Reduction and Selective Memorization through Model Fusion,DBLP:journals/corr/abs-2311-07682," Kerem Zaman, Leshem Choshen, Shashank Srivastava",2024,1,,,1,,,,,1,,,,,1,,1,1,1,1,1,,,,,,,
,,Nature Machine Intelligence^ ,The Future of Open Human Feedback,DonYehiya2024TheFO,"Many authors, led by me.",2024,1,,,,,1,,,,,,,,1,,1,1,1,,1,,1,,,,,
,,CoLM,Unforgettable Generalization in Language Models,zhang2024unforgettable,"Eric Zhang, Leshem Chosen, Jacob Andreas",2024,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,
,,TMLR,Compeft: Compression for communicating parameter efficient updates via sparsification and quantization,yadav2025compeft,"Prateek Yadav, Leshem Choshen, Colin Raffel, Mohit Bansal",2024,1,,,1,,,1,,1,1,,,,,,,,,1,1,,,,,,,
,,ICLR,Model merging with SVD to tie the Knots,knots,"Pratik, Ramesh and George, Stoica and Boglarka, Ecsedi and Leshem, Choshen and Judy, Hoffman",2024,1,,,1,,,,,1,1,,1,,,,1,1,1,1,1,,,,,,,
,,Neurips,Sloth: scaling laws for LLM skills to predict multi-benchmark performance across families,polo2024sloth,"Felipe Maia Polo, Seamus Somerstep, Leshem Choshen, Yuekai Sun, Mikhail Yurochkin",2024,1,1,,,1,,1,,1,1,,1,1,,,,1,1,1,1,,,,,,,
,,ICLR* ,A Hitchhiker's Guide to Scaling Law Estimation,choshen2024hitchhiker,"Leshem Choshen, Yang Zhang, Jacob Andreas",2024,1,1,,,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,,,,,,,
,,ICLR,LiveXiv - A Multi-Modal live benchmark based on Arxiv papers content,shabtay2025livexiv,"Nimrod Shabtay, Felipe Maia Polo, Sivan Doveh, Wei Lin, Muhammad Jehanzeb Mirza, Leshem Choshen, Mikhail Yurochkin, Yuekai Sun, Assaf Arbelle, Leonid Karlinsky, Raja Giryes",2024,1,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,
,,CoNLL,Findings of the second BabyLM challenge: Sample-efficient pretraining on developmentally plausible corpora,hu-etal-2024-findings,"MY Hu, A Mueller, C Ross, A Williams, T Linzen, C Zhuang, R Cotterell, ...",2024,1,1,,,,,,1,,,,1,1,1,1,1,1,1,1,,,,,,,,
,,Neurips,Llm merging: Building llms efficiently through merging,tam2024llm,"D Tam, M Li, P Yadav, RB Gabrielsson, J Zhu, K Greenewald, ...",2024,1,,,1,,,,1,,,,1,1,1,,1,1,1,1,,,,,,,,
